time,lat,lon,pr
1951-07-30,22.625,80.625,20.77500009536743
1951-07-31,22.625,80.625,31.400001049041748
1951-08-01,22.625,80.625,19.450000047683716
1951-08-02,22.625,80.625,11.799999833106995
1951-08-03,22.625,80.625,23.15000009536743
1951-08-04,22.625,80.625,4.449999988079071
1951-08-05,22.625,80.625,37.70000076293945
1951-08-06,22.625,80.625,55.5
1951-08-07,22.625,80.625,37.92499923706055
1951-08-08,22.625,80.625,8.125
1951-08-09,22.625,80.625,1.9999999701976776
1951-08-10,22.625,80.625,16.325000286102295
1951-08-11,22.625,80.625,8.925000190734863
1951-08-12,22.625,80.625,30.575000047683716
1951-08-13,22.625,80.625,39.82499933242798
1951-08-14,22.625,80.625,1.5249999538064003
1951-08-15,22.625,80.625,16.600000478327274
1951-08-16,22.625,80.625,35.07499933242798
1951-08-17,22.625,80.625,37.02499961853027
1951-08-18,22.625,80.625,26.02500009536743
1951-08-19,22.625,80.625,1.150000013411045
1951-08-20,22.625,80.625,0.10000000149011612
1951-08-21,22.625,80.625,2.899999976158142
1951-08-22,22.625,80.625,16.174999952316284
1951-08-23,22.625,80.625,74.57500076293945
1951-08-24,22.625,80.625,6.150000095367432
1951-08-25,22.625,80.625,4.075000025331974
1951-08-26,22.625,80.625,2.0249999463558197
1951-08-27,22.625,80.625,0.0
1951-08-28,22.625,80.625,0.0
1951-08-29,22.625,80.625,1.4249999821186066
1951-08-30,22.625,80.625,3.150000035762787
1951-08-31,22.625,80.625,6.375000108033419
1951-09-01,22.625,80.625,17.75
1951-09-02,22.625,80.625,41.62499928474426
1951-09-03,22.625,80.625,1.024999976158142
1951-09-04,22.625,80.625,5.999999940395355
1951-09-05,22.625,80.625,7.575000047683716
1951-09-06,22.625,80.625,7.450000107288361
1951-09-07,22.625,80.625,3.9250000715255737
1951-09-08,22.625,80.625,8.850000083446503
1951-09-09,22.625,80.625,3.2000000029802322
1951-09-10,22.625,80.625,29.250000476837158
1951-09-11,22.625,80.625,34.72500026226044
1951-09-12,22.625,80.625,8.95000010728836
1951-09-13,22.625,80.625,2.550000000745058
1951-09-14,22.625,80.625,0.0
1951-09-15,22.625,80.625,7.324999883770943
1951-09-16,22.625,80.625,0.32500000298023224
1951-09-17,22.625,80.625,7.099999904632568
1951-09-18,22.625,80.625,0.0
1951-09-19,22.625,80.625,0.0
1951-09-20,22.625,80.625,0.0
1951-09-21,22.625,80.625,0.0
1951-09-22,22.625,80.625,0.0
1951-09-23,22.625,80.625,0.0
1951-09-24,22.625,80.625,0.0
1951-09-25,22.625,80.625,0.0
1951-09-26,22.625,80.625,9.174999952316284
1951-09-27,22.625,80.625,0.550000011920929
1951-09-28,22.625,80.625,0.0
1951-09-29,22.625,80.625,0.8500000089406967
1951-09-30,22.625,80.625,1.0
1952-06-01,22.625,80.625,0.0
1952-06-02,22.625,80.625,0.0
1952-06-03,22.625,80.625,0.7999999821186066
1952-06-04,22.625,80.625,0.0
1952-06-05,22.625,80.625,0.0
1952-06-06,22.625,80.625,1.725000023841858
1952-06-07,22.625,80.625,0.0
1952-06-08,22.625,80.625,0.0
1952-06-09,22.625,80.625,0.0
1952-06-10,22.625,80.625,0.0
1952-06-11,22.625,80.625,0.0
1952-06-12,22.625,80.625,0.02500000037252903
1952-06-13,22.625,80.625,0.0
1952-06-14,22.625,80.625,0.5250000059604645
1952-06-15,22.625,80.625,0.0
1952-06-16,22.625,80.625,1.125
1952-06-17,22.625,80.625,3.374999910593033
1952-06-18,22.625,80.625,7.025000095367432
1952-06-19,22.625,80.625,8.149999916553497
1952-06-20,22.625,80.625,4.574999988079071
1952-06-21,22.625,80.625,51.649999141693115
1952-06-22,22.625,80.625,19.424999713897705
1952-06-23,22.625,80.625,15.399999737739563
1952-06-24,22.625,80.625,3.199999988079071
1952-06-25,22.625,80.625,1.025000013411045
1952-06-26,22.625,80.625,16.300000190734863
1952-06-27,22.625,80.625,6.1250001192092896
1952-06-28,22.625,80.625,13.675000071525574
1952-06-29,22.625,80.625,6.2500001192092896
1952-06-30,22.625,80.625,20.649999618530273
1952-07-01,22.625,80.625,0.0
1952-07-02,22.625,80.625,0.0
1952-07-03,22.625,80.625,0.7000000029802322
1952-07-04,22.625,80.625,13.50000011920929
1952-07-05,22.625,80.625,17.37499976158142
1952-07-06,22.625,80.625,16.450000047683716
1952-07-07,22.625,80.625,4.550000011920929
1952-07-08,22.625,80.625,0.0
1952-07-09,22.625,80.625,0.0
1952-07-10,22.625,80.625,0.5000000149011612
1952-07-11,22.625,80.625,0.0
1952-07-12,22.625,80.625,0.0
1952-07-13,22.625,80.625,0.0
1952-07-14,22.625,80.625,0.0
1952-07-15,22.625,80.625,0.75
1952-07-16,22.625,80.625,1.2750000208616257
1952-07-17,22.625,80.625,32.55000019073486
1952-07-18,22.625,80.625,19.77500009536743
1952-07-19,22.625,80.625,6.949999988079071
1952-07-20,22.625,80.625,35.09999990463257
1952-07-21,22.625,80.625,44.27499961853027
1952-07-22,22.625,80.625,41.02500057220459
1952-07-23,22.625,80.625,28.674999237060547
1952-07-24,22.625,80.625,26.575000286102295
1952-07-25,22.625,80.625,18.550000190734863
1952-07-26,22.625,80.625,10.550000190734863
1952-07-27,22.625,80.625,36.47500038146973
1952-07-28,22.625,80.625,58.27499961853027
1952-07-29,22.625,80.625,41.82499980926514
1952-07-30,22.625,80.625,7.7749998569488525
1952-07-31,22.625,80.625,3.924999952316284
1952-08-01,22.625,80.625,1.6749999970197678
1952-08-02,22.625,80.625,3.7999998927116394
1952-08-03,22.625,80.625,39.549999713897705
1952-08-04,22.625,80.625,17.949999809265137
1952-08-05,22.625,80.625,0.8000000044703484
1952-08-06,22.625,80.625,1.4999999850988388
1952-08-07,22.625,80.625,0.3999999910593033
1952-08-08,22.625,80.625,5.650000095367432
1952-08-09,22.625,80.625,45.85000038146973
1952-08-10,22.625,80.625,30.899999618530273
1952-08-11,22.625,80.625,24.875000476837158
1952-08-12,22.625,80.625,16.3499998152256
1952-08-13,22.625,80.625,6.474999904632568
1952-08-14,22.625,80.625,27.375000476837158
1952-08-15,22.625,80.625,41.92500019073486
1952-08-16,22.625,80.625,12.775000095367432
1952-08-17,22.625,80.625,5.725000023841858
1952-08-18,22.625,80.625,0.8750000223517418
1952-08-19,22.625,80.625,30.40000009536743
1952-08-20,22.625,80.625,12.774999976158142
1952-08-21,22.625,80.625,12.549999952316284
1952-08-22,22.625,80.625,24.824999809265137
1952-08-23,22.625,80.625,20.425000429153442
1952-08-24,22.625,80.625,7.6999998688697815
1952-08-25,22.625,80.625,71.72500038146973
1952-08-26,22.625,80.625,6.350000023841858
1952-08-27,22.625,80.625,1.274999976158142
1952-08-28,22.625,80.625,1.699999988079071
1952-08-29,22.625,80.625,0.0
1952-08-30,22.625,80.625,0.0
1952-08-31,22.625,80.625,0.0
1952-09-01,22.625,80.625,36.02500033378601
1952-09-02,22.625,80.625,13.024999856948853
1952-09-03,22.625,80.625,11.275000095367432
1952-09-04,22.625,80.625,24.97499990463257
1952-09-05,22.625,80.625,50.77500057220459
1952-09-06,22.625,80.625,14.750000238418579
1952-09-07,22.625,80.625,13.499999642372131
1952-09-08,22.625,80.625,6.699999958276749
1952-09-09,22.625,80.625,3.5250000059604645
1952-09-10,22.625,80.625,8.25
1952-09-11,22.625,80.625,0.10000000149011612
1952-09-12,22.625,80.625,1.5
1952-09-13,22.625,80.625,2.2750000059604645
1952-09-14,22.625,80.625,1.3000000063329935
1952-09-15,22.625,80.625,3.175000011920929
1952-09-16,22.625,80.625,0.25
1952-09-17,22.625,80.625,0.0
1952-09-18,22.625,80.625,0.0
1952-09-19,22.625,80.625,0.0
1952-09-20,22.625,80.625,0.0
1952-09-21,22.625,80.625,0.0
1952-09-22,22.625,80.625,0.02500000037252903
1952-09-23,22.625,80.625,0.05000000074505806
1952-09-24,22.625,80.625,0.05000000074505806
1952-09-25,22.625,80.625,0.0
1952-09-26,22.625,80.625,0.0
1952-09-27,22.625,80.625,0.0
1952-09-28,22.625,80.625,1.0
1952-09-29,22.625,80.625,0.42499999701976776
1952-09-30,22.625,80.625,0.4750000089406967
1953-06-01,22.625,80.625,0.0
1953-06-02,22.625,80.625,0.0
1953-06-03,22.625,80.625,0.0
1953-06-04,22.625,80.625,0.0
1953-06-05,22.625,80.625,0.0
1953-06-06,22.625,80.625,0.0
1953-06-07,22.625,80.625,0.0
1953-06-08,22.625,80.625,0.0
1953-06-09,22.625,80.625,0.0
1953-06-10,22.625,80.625,0.0
1953-06-11,22.625,80.625,0.5250000059604645
1953-06-12,22.625,80.625,0.949999988079071
1953-06-13,22.625,80.625,2.3999999463558197
1953-06-14,22.625,80.625,0.15000000596046448
1953-06-15,22.625,80.625,0.0
1953-06-16,22.625,80.625,0.30000001192092896
1953-06-17,22.625,80.625,0.0
1953-06-18,22.625,80.625,6.700000047683716
1953-06-19,22.625,80.625,15.65000033378601
1953-06-20,22.625,80.625,7.099999874830246
1953-06-21,22.625,80.625,1.8250000476837158
1953-06-22,22.625,80.625,13.849999904632568
1953-06-23,22.625,80.625,2.900000035762787
1953-06-24,22.625,80.625,0.0
1953-06-25,22.625,80.625,0.0
1953-06-26,22.625,80.625,0.0
1953-06-27,22.625,80.625,0.0
1953-06-28,22.625,80.625,0.0
1953-06-29,22.625,80.625,0.0
1953-06-30,22.625,80.625,14.724999785423279
1953-07-01,22.625,80.625,9.225000023841858
1953-07-02,22.625,80.625,6.025000035762787
1953-07-03,22.625,80.625,9.425000041723251
1953-07-04,22.625,80.625,34.55000019073486
1953-07-05,22.625,80.625,62.349998474121094
1953-07-06,22.625,80.625,62.99999928474426
1953-07-07,22.625,80.625,15.925000071525574
1953-07-08,22.625,80.625,0.5499999970197678
1953-07-09,22.625,80.625,5.0500001311302185
1953-07-10,22.625,80.625,48.17500066757202
1953-07-11,22.625,80.625,14.375
1953-07-12,22.625,80.625,24.425000190734863
1953-07-13,22.625,80.625,25.40000009536743
1953-07-14,22.625,80.625,25.549999713897705
1953-07-15,22.625,80.625,3.5249999165534973
1953-07-16,22.625,80.625,7.574999809265137
1953-07-17,22.625,80.625,13.274999618530273
1953-07-18,22.625,80.625,12.800000190734863
1953-07-19,22.625,80.625,14.575000047683716
1953-07-20,22.625,80.625,3.499999910593033
1953-07-21,22.625,80.625,4.3500001430511475
1953-07-22,22.625,80.625,4.925000095739961
1953-07-23,22.625,80.625,16.699999645352364
1953-07-24,22.625,80.625,14.225000143051147
1953-07-25,22.625,80.625,7.400000095367432
1953-07-26,22.625,80.625,12.25
1953-07-27,22.625,80.625,6.300000071525574
1953-07-28,22.625,80.625,8.149999752640724
1953-07-29,22.625,80.625,13.275000095367432
1953-07-30,22.625,80.625,12.624999642372131
1953-07-31,22.625,80.625,3.125
1953-08-01,22.625,80.625,8.87499988079071
1953-08-02,22.625,80.625,13.625000298023224
1953-08-03,22.625,80.625,10.25
1953-08-04,22.625,80.625,12.100000143051147
1953-08-05,22.625,80.625,18.575000047683716
1953-08-06,22.625,80.625,6.725000023841858
1953-08-07,22.625,80.625,2.000000014901161
1953-08-08,22.625,80.625,4.349999904632568
1953-08-09,22.625,80.625,11.02499994635582
1953-08-10,22.625,80.625,1.925000011920929
1953-08-11,22.625,80.625,5.099999904632568
1953-08-12,22.625,80.625,19.25
1953-08-13,22.625,80.625,8.000000208616257
1953-08-14,22.625,80.625,12.899999976158142
1953-08-15,22.625,80.625,24.550000190734863
1953-08-16,22.625,80.625,25.625
1953-08-17,22.625,80.625,41.25
1953-08-18,22.625,80.625,44.85000038146973
1953-08-19,22.625,80.625,32.82500076293945
1953-08-20,22.625,80.625,10.25
1953-08-21,22.625,80.625,3.300000000745058
1953-08-22,22.625,80.625,6.800000071525574
